hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset
climatecrisis	19739126	2.70833333333333333329	.08333333333333333333	.03076923076923076923	3	36	84	2730
partyoflies	19739126	30.33333333333333336336	.11111111111111111111	.00366300366300366300	4	36	10	2730
leaveitintheground	19739126	75.83333333333333338793	.02777777777777777777	.00036630036630036630	1	36	1	2730
paralympics2022	26347394	47.06896551724137935411	.03448275862068965517	.00073260073260073260	2	58	2	2730
paralympic	26347394	117.67241379310344839212	.08620689655172413793	.00073260073260073260	5	58	2	2730
gocanadago	26347394	38.51097178683385583642	.15517241379310344827	.00402930402930402930	9	58	11	2730
paralympics	26347394	141.20689655172413804870	.05172413793103448275	.00036630036630036630	3	58	1	2730
beijing	26347394	235.34482758620689678424	.08620689655172413793	.00036630036630036630	5	58	1	2730
banrpc	26347394	47.06896551724137934046	.01724137931034482758	.00036630036630036630	1	58	1	2730
banrussia	26347394	47.06896551724137934046	.01724137931034482758	.00036630036630036630	1	58	1	2730
ukraine	26347394	3.03670745272525027823	.10344827586206896551	.03406593406593406593	6	58	93	2730
paralympics2022	26347394	47.06896551724137935411	.03448275862068965517	.00073260073260073260	2	58	2	2730
standwithukraine️	26347394	9.41379310344827586809	.01724137931034482758	.00183150183150183150	1	58	5	2730
paralympic	26347394	117.67241379310344839212	.08620689655172413793	.00073260073260073260	5	58	2	2730
beijing2022	26347394	26.89655172413793105949	.06896551724137931034	.00256410256410256410	4	58	7	2730
kyiv	26347394	9.41379310344827586809	.01724137931034482758	.00183150183150183150	1	58	5	2730
ukraineinvasion	26347394	7.84482758620689655674	.01724137931034482758	.00219780219780219780	1	58	6	2730
ukraineunderattack	26347394	15.68965517241379311348	.01724137931034482758	.00109890109890109890	1	58	3	2730
istandwithukraine	26347394	5.88362068965517241755	.01724137931034482758	.00293040293040293040	1	58	8	2730
ukrainerussia	26347394	47.06896551724137934046	.01724137931034482758	.00036630036630036630	1	58	1	2730
canada	26347394	10.45977011494252873780	.27586206896551724137	.02637362637362637362	16	58	72	2730
hockeycanada	26347394	47.06896551724137935411	.03448275862068965517	.00073260073260073260	2	58	2	2730
beijing2022	26347394	26.89655172413793105949	.06896551724137931034	.00256410256410256410	4	58	7	2730
gocanadago	26347394	38.51097178683385583642	.15517241379310344827	.00402930402930402930	9	58	11	2730
women	26347394	33.62068965517241382632	.08620689655172413793	.00256410256410256410	5	58	7	2730
hockeytwitter	26347394	31.37931034482758623607	.03448275862068965517	.00109890109890109890	2	58	3	2730
hockeycanada	26347394	47.06896551724137935411	.03448275862068965517	.00073260073260073260	2	58	2	2730
going4gold	26347394	47.06896551724137935411	.03448275862068965517	.00073260073260073260	2	58	2	2730
beijing2022	26347394	26.89655172413793105949	.06896551724137931034	.00256410256410256410	4	58	7	2730
icehockey	26347394	23.53448275862068967023	.01724137931034482758	.00073260073260073260	1	58	2	2730
teamjones	26347394	47.06896551724137934046	.01724137931034482758	.00036630036630036630	1	58	1	2730
gocanadago	26347394	38.51097178683385583642	.15517241379310344827	.00402930402930402930	9	58	11	2730
curling	26347394	23.53448275862068967023	.01724137931034482758	.00073260073260073260	1	58	2	2730
teamjenniferjones	26347394	47.06896551724137934046	.01724137931034482758	.00036630036630036630	1	58	1	2730
